anime,producer
1,23
21,169
21,416
21,1365
164,382
164,1003
199,245
245,17
245,169
263,29
431,164
431,382
457,52
457,82
457,147
457,711
777,31
777,549
777,1553
820,99
1535,29
1535,85
1535,242
1535,1003
1535,1365
1575,23
1575,143
1575,230
1575,757
1575,1233
1575,1488
2001,16
2001,17
2001,53
2001,85
2001,213
2001,230
2904,23
2904,143
2904,230
2904,1233
2904,1488
2921,583
3297,16
3297,109
3297,1452
4181,144
4181,145
4181,211
4181,929
4282,703
4565,17
5114,17
5114,58
5114,143
5114,1155
5258,29
5258,159
5258,1003
5300,17
5300,139
7311,113
7311,929
7472,16
7472,17
7472,53
7472,230
7472,415
7472,1365
7785,53
7785,113
7785,169
7785,245
7785,517
7785,577
7785,757
7785,769
9253,61
9253,108
9253,166
9253,238
9253,352
9253,459
9969,16
9969,17
9969,53
9969,643
9969,763
9969,829
9969,1365
9989,17
9989,53
9989,169
9989,769
10162,169
10162,577
10162,757
10162,765
10162,769
10379,17
10379,765
10408,17
11061,29
11061,1003
11061,1365
11577,61
11577,108
11577,166
11577,238
11577,352
11577,963
11665,16
11665,17
11665,139
11665,148
11665,757
11741,17
11741,459
11741,701
11741,703
12355,11
12355,29
12355,53
12355,76
12355,113
12355,245
12355,1702
12365,111
12365,1365
12431,17
12431,53
12431,236
12431,643
15417,16
15417,17
15417,53
15417,1365
15417,1406
17074,17
17074,159
17074,1099
19647,29
19647,159
19647,1003
21329,17
21329,159
21329,711
22135,17
22135,53
22135,169
22135,1411
23273,17
23273,53
23273,159
23273,169
23273,1411
24687,17
24687,159
24687,711
24701,17
24701,159
24701,711
28171,53
28171,61
28171,143
28171,306
28171,415
28171,460
28171,777
28171,1365
28171,1605
28851,109
28851,144
28851,159
28851,1500
28851,1574
28891,1143
28891,1365
28957,17
28957,159
28957,711
30276,16
30276,23
30276,104
30276,142
30276,1121
30276,1261
30276,1365
30276,1501
30484,61
30484,108
30484,113
30484,166
31757,17
31757,159
31758,17
31758,159
31933,415
31933,460
31933,1337
31933,1365
32281,113
32281,245
32281,1294
32281,1309
32281,1313
32281,1501
32935,1143
32935,1365
32983,16
32983,17
32983,139
32983,148
33095,143
33095,159
33095,315
33095,1344
33255,16
33255,62
33255,144
33255,323
33255,460
33255,517
33255,1233
33255,1365
33255,1390
33255,1803
33352,104
33352,144
33352,211
33352,1500
33486,53
33486,76
33486,166
33486,757
33486,1143
33486,1365
33674,61
33674,166
33674,238
33674,1696
34591,16
34591,17
34591,139
34591,148
34599,108
34599,238
34599,332
34599,737
34599,1551
34599,1587
34599,1677
34612,16
34612,62
34612,323
34612,460
34612,517
34612,1233
34612,1365
34612,1390
34612,1803
35247,17
35247,159
35839,108
35839,166
35839,238
35839,737
35839,1334
35839,1551
35839,1696
35839,1779
35839,1784
35843,16
35843,17
35843,53
35843,1365
36456,1143
36456,1365
36838,16
36838,17
36838,53
36838,1365
37208,1727
37991,415
37991,1365
38262,111
38262,1023
38262,1797
38262,1891
