id,name
1,Studio Pierrot
2,Kyoto Animation
4,Bones
6,Gainax
7,J.C.Staff
8,Artland
10,Production I.G
11,Madhouse
14,Sunrise
16,TV Tokyo
17,Aniplex
18,Toei Animation
21,Studio Ghibli
23,Bandai Visual
29,VAP
31,Geneon Universal Entertainment
34,Hal Film Maker
37,Studio Deen
41,Satelight
43,ufotable
44,Shaft
52,Avex Entertainment
53,Dentsu
56,A-1 Pictures
58,Square Enix
61,Frontier Works
62,Shogakukan Productions
65,Tokyo Movie Shinsha
76,Yomiuri Telecasting
82,Marvelous
85,Konami
99,Kitty Films
103,Tatsunoko Production
104,Lantis
108,Media Factory
109,Shochiku
111,NHK
112,Brain&#039;s Base
113,Kadokawa Shoten
139,Nihon Ad Systems
142,Asatsu DK
143,Mainichi Broadcasting System
144,Pony Canyon
145,TBS
147,SKY Perfect Well Think
148,Hakusensha
159,Kodansha
164,d-rights
166,Movic
169,Fuji TV
207,Magic Bus
211,Rakuonsha
213,Half H.P Studio
230,Bandai
236,YTV
238,AT-X
242,Ashi Production
245,Toho
287,David Production
290,Kinema Citrus
291,CoMix Wave Films
306,Magic Capsule
314,White Fox
315,DAX Production
323,Nippon Columbia
332,Takeshobo
352,Kadokawa Pictures Japan
382,Tokuma Shoten
415,Warner Bros. Japan
416,TAP
459,Nitroplus
460,KlockWorx
517,Asmik Ace
549,StudioRF Inc.
555,Studio Chizu
569,MAPPA
577,Tohokushinsha Film Corporation
583,Annapuru
643,Trinity Sound
701,Seikaisha
703,Notes
711,Delfi Sound
737,Sony Music Communications
757,Sony Music Entertainment
763,Miracle Robo
765,Sakura Create
769,Fuji Pacific Music Publishing
777,Showgate
829,Studio Jack
894,Graphinica
929,Animation Do
963,MAGES.
1003,Nippon Television Network
1023,Polygon Pictures
1099,Cyclone Graphics
1111,DandeLion Animation Studio
1119,Shuka
1121,Banpresto
1143,TOHO animation
1155,Studio Moriken
1233,Bandai Namco Entertainment
1258,Bandai Namco Pictures
1261,Good Smile Company
1294,Sound Team Don Juan
1309,Lawson HMV Entertainment
1313,Amuse
1334,Docomo Anime Store
1337,Medicos Entertainment
1344,King Records
1350,G.CMay Animation &amp; Film
1365,Shueisha
1390,Toy&#039;s Factory
1406,Miracle Bus
1411,Kyoraku Industrial Holdings
1444,Egg Firm
1452,Mag Garden
1488,Hakuhodo DY Media Partners
1500,ABC Animation
1501,East Japan Marketing &amp; Communications
1551,Kadokawa Media House
1553,Shounen Gahousha
1574,Quaras
1587,Cygames
1605,I Will
1677,"Kanetsu Co., LTD."
1696,Kadokawa
1702,Hiroshima Television
1727,Tencent Penguin Pictures
1779,NewGin
1784,Crunchyroll SC Anime Fund
1797,NHK Enterprises
1803,Dear Stage inc.
1891,Mattel Creations
